portfolio,sr_is,sr_oos,delta_sr,jk_pvalue,lw_pvalue,lw_ci_low,lw_ci_high,inference_flag
30 ind GMV,0.17435152147535232,0.16502388901891119,-0.009327632456441137,0.9233654511530054,0.937,-0.16089068890306213,0.17472682217288424,No significant Sharpe change
30 ind TAN,0.3372914136471133,0.08133803741615679,-0.2559533762309565,0.0031203131872195033,0.001,0.10268569777007745,0.4143179745654572,IS Sharpe > OOS Sharpe (significant)
FF5 GMV,0.3789170698457338,0.1782081914885945,-0.20070887835713933,0.021012562660361445,0.05,0.001351578980850771,0.40013995844219097,No significant Sharpe change
FF5 TAN,0.3994978765283759,0.19872800791258002,-0.20076986861579585,0.021339628865880034,0.027,0.0189033991035014,0.3973210950422412,IS Sharpe > OOS Sharpe (significant)
