portfolio,sr_is,sr_oos,delta
30 ind TAN,0.3372914136471133,0.08133803741615679,-0.2559533762309565
30 ind GMV,0.17435152147535232,0.16502388901891119,-0.009327632456441137
FF5 TAN,0.3994978765283759,0.19872800791258002,-0.20076986861579585
FF5 GMV,0.3789170698457338,0.1782081914885945,-0.20070887835713933
