portfolio,asset_set,mean_is,vol_is,sharpe_is
30 ind TAN,industries,0.02576564534162355,0.060916830025957276,0.3372914136471133
30 ind GMV,industries,0.010693721186516097,0.03138615857564935,0.17435152147535232
FF5 TAN,ff5_excess,0.0043260509593378545,0.01082872078552983,0.3994978765283759
FF5 GMV,ff5_excess,0.0038918045460088818,0.01027086097650161,0.3789170698457338
