Universe,$\alpha_{IS\ TAN}$,SR mix OOS,SR OOS TAN,$\Delta$SR (mix-TAN),Weight L2 gap
Industries,0.456,0.20952891115242805,0.2857083147904281,-0.07617940363800002,0.4821523490908919
FF5,1.0,0.26186052265118626,0.26203355730440525,-0.00017303465321899525,0.02891856306540657
Proxy5,0.16,0.132435351594414,0.22204288041590028,-0.08960752882148629,1.414213562373095
