series,universe,portfolio,mean,vol,excess_mean,sharpe
industries,industries,GMV,0.006418861958318583,0.03129254646399419,0.006418861958318583,0.20512430861784453
industries,industries,TAN,0.014287273523349823,0.04668598942681577,0.014287273523349823,0.3060291470473456
ff3,ff3,GMV,0.002278458129860597,0.017905381074436615,0.002278458129860597,0.12724990997893562
ff3,ff3,TAN,0.0053574197215831365,0.027456228361791696,0.0053574197215831365,0.19512584361508895
ff5,ff5,GMV,0.0029259123833460733,0.010810168344634668,0.0029259123833460733,0.27066298045194365
ff5,ff5,TAN,0.0037959686597336725,0.012312978120684812,0.0037959686597336725,0.3082900515641095
