label,universe,portfolio,mean,vol,excess_mean,sharpe
sample,industries,GMV,0.009732696039063996,0.03139641741248577,0.006435413430368349,0.20497285871250726
sample,industries,TAN,0.017633058717724033,0.04686002035952437,0.014335776109028385,0.3059276542997621
bs_mean,industries,GMV,0.009732696039063996,0.03139641741248577,0.006435413430368349,0.20497285871250726
bs_mean,industries,TAN,0.011483984954155686,0.035411666733161345,0.00818670234546004,0.23118658624993726
bs_mean_cov,industries,GMV,0.00976230891321634,0.03158431753029654,0.006465026304520693,0.20469102421856233
bs_mean_cov,industries,TAN,0.011434510718022525,0.03543436010017716,0.008137228109326877,0.2296423044277352
