scenario,portfolio,universe,estimator,mean_x1e3,vol_x1e3,sharpe,delta_mean_x1e3,delta_vol_x1e3,delta_sharpe,abs_delta_sharpe
with_coal_30,GMV,industry,sample,5.841226300263985,28.214667275876327,0.1375537087699418,0.0,0.0,0.0,0.0
with_coal_30,GMV,industry,bs_mean,5.841226300263983,28.214667275876327,0.13755370876994175,-1.734723475976807e-15,0.0,-5.551115123125783e-17,5.551115123125783e-17
with_coal_30,GMV,industry,bs_mean_cov,6.612134928201921,29.81024807378349,0.1560517289869777,0.7709086279379359,1.5955807979071632,0.018498020217035893,0.018498020217035893
with_coal_30,GMV,stock,sample,11.890202926734377,32.069295342821334,0.30964224956691827,0.0,0.0,0.0,0.0
with_coal_30,GMV,stock,bs_mean,11.890202926734377,32.069295342821334,0.30964224956691827,0.0,0.0,0.0,0.0
with_coal_30,GMV,stock,bs_mean_cov,12.024902851928253,32.20500842900363,0.3125199827026518,0.13469992519387664,0.13571308618229305,0.002877733135733529,0.002877733135733529
with_coal_30,TAN,industry,sample,123.91086759362447,158.15881987899292,0.7710646394059558,0.0,0.0,0.0,0.0
with_coal_30,TAN,industry,bs_mean,55.64344530838221,104.93508510320966,0.5115853394584317,-68.26742228524226,-53.22373477578325,-0.25947929994752417,0.25947929994752417
with_coal_30,TAN,industry,bs_mean_cov,38.06367923556983,83.04683119451335,0.4347364558227454,-85.84718835805465,-75.11198868447956,-0.3363281835832104,0.3363281835832104
with_coal_30,TAN,stock,sample,46.3395007284889,67.79612279332596,0.654599477451245,0.0,0.0,0.0,0.0
with_coal_30,TAN,stock,bs_mean,21.100067185403176,44.52297005018894,0.42988760608446125,-25.239433543085724,-23.27315274313702,-0.22471187136678378,0.22471187136678378
with_coal_30,TAN,stock,bs_mean_cov,19.12235461796667,42.054143436483784,0.4080967781243755,-27.21714611052223,-25.74197935684218,-0.24650269932686952,0.24650269932686952
drop_coal_29,GMV,industry,sample,7.9487413963479945,29.015379349600394,0.2039512892566215,0.0,0.0,0.0,0.0
drop_coal_29,GMV,industry,bs_mean,7.9487413963479945,29.015379349600394,0.2039512892566215,0.0,0.0,0.0,0.0
drop_coal_29,GMV,industry,bs_mean_cov,7.980221627671865,29.13940539604548,0.20416354339036005,0.03148023132387018,0.1240260464450832,0.00021225413373854307,0.00021225413373854307
drop_coal_29,GMV,stock,sample,10.145723458042912,31.59715623368393,0.2568176081512438,0.0,0.0,0.0,0.0
drop_coal_29,GMV,stock,bs_mean,10.14572345804291,31.59715623368393,0.25681760815124377,-1.734723475976807e-15,0.0,-5.551115123125783e-17,5.551115123125783e-17
drop_coal_29,GMV,stock,bs_mean_cov,10.195579970720617,31.339557435375234,0.26051939686224285,0.04985651267770501,-0.2575987983086947,0.003701788710999021,0.003701788710999021
drop_coal_29,TAN,industry,sample,19.733902161392148,50.18488351992285,0.35275333028594663,0.0,0.0,0.0,0.0
drop_coal_29,TAN,industry,bs_mean,11.117263336023132,35.95366300927206,0.25272100825868127,-8.616638825369016,-14.23122051065078,-0.10003232202726536,0.10003232202726536
drop_coal_29,TAN,industry,bs_mean_cov,10.971781358254274,35.72222987911457,0.2502857189705998,-8.762120803137872,-14.462653640808274,-0.10246761131534682,0.10246761131534682
drop_coal_29,TAN,stock,sample,15.603938980399281,40.86469584016104,0.33214297406645643,0.0,0.0,0.0,0.0
drop_coal_29,TAN,stock,bs_mean,10.875985847250027,32.988285540020755,0.2681245276233722,-4.727953133149254,-7.876410300140281,-0.06401844644308424,0.06401844644308424
drop_coal_29,TAN,stock,bs_mean_cov,10.878708375664406,32.624312700863435,0.27119930730994996,-4.7252306047348736,-8.240383139297606,-0.060943666756506476,0.060943666756506476
