estimator,universe,portfolio,mean,vol,excess_mean,sharpe
sample,industry,GMV,0.005841226300263985,0.028214667275876328,0.0038810321255066996,0.1375537087699418
sample,industry,TAN,0.12391086759362448,0.1581588198789929,0.12195067341886719,0.7710646394059558
sample,stock,GMV,0.011890202926734377,0.03206929534282133,0.009930008751977092,0.30964224956691827
sample,stock,TAN,0.0463395007284889,0.06779612279332596,0.044379306553731616,0.654599477451245
bs_mean,industry,GMV,0.0058603520818410575,0.028214667275876328,0.003900157907083772,0.13823157540540715
bs_mean,industry,TAN,0.12245882819221804,0.15682846786464552,0.12049863401746075,0.7683466889535637
bs_mean,stock,GMV,0.01188355094967005,0.03206929534282133,0.009923356774912765,0.30943482445847054
bs_mean,stock,TAN,0.0456147729821695,0.06726281138349767,0.04365457880741222,0.6490150784586812
bs_mean_cov,industry,GMV,0.007042828458375228,0.02981024807378349,0.0050826342836179424,0.17049956347353734
bs_mean_cov,industry,TAN,0.0747705431874421,0.11282821456890824,0.07281034901268481,0.6453204040396909
bs_mean_cov,stock,GMV,0.012141249078334321,0.032205008429003625,0.010181054903577036,0.31613265762750253
bs_mean_cov,stock,TAN,0.037821466692896946,0.06044214599238905,0.03586127251813966,0.59331567285277
