Universe,$\Delta$Sharpe Sample,$\Delta$Sharpe BS($\mu$),"$\Delta$Sharpe BS($\mu,\Sigma$)"
FF5,-0.0988935323426664,-0.0988850041131662,-0.10071560135557375
Industries,-0.2559533762309565,-0.2554605171376986,-0.23437529264831874
Proxy5,-0.33552546818313844,-0.33564365163642473,-0.30558003888602137
