series,universe,portfolio,mean,vol,excess_mean,sharpe
ff3,ff3,GMV,8.122033800966012e-05,0.02147772797127394,8.122033800966012e-05,0.003781607538669398
ff3,ff3,TAN,0.4556509731341109,1.6086890003290468,0.4556509731341109,0.2832436680060039
proxy3,proxy3,GMV,0.008579035991742805,0.03893995544563413,0.008579035991742805,0.22031447888327435
proxy3,proxy3,TAN,0.014656033135029278,0.05089609055374991,0.014656033135029278,0.2879598997795608
ff5,ff5,GMV,0.0007791270818265887,0.011955351528900718,0.0007791270818265887,0.065169734235178
ff5,ff5,TAN,0.016207910003212794,0.05452826865879467,0.016207910003212794,0.2972386690769922
proxy5,proxy5,GMV,0.007511109857460637,0.03239054685320342,0.007511109857460637,0.23189203601598934
proxy5,proxy5,TAN,0.01267812677482987,0.04208174771574146,0.01267812677482987,0.30127376981748744
