Universe,IS Sharpe,OOS Sharpe,$\Delta$ Sharpe,JK p-value,LW p-value,Decision
30 ind TAN,0.3372914136471133,0.08133803741615679,-0.2559533762309565,0.0031203131872195033,0.0,Significant IS->OOS deterioration (alpha=0.05)
30 ind GMV,0.17435152147535232,0.16502388901891119,-0.009327632456441137,0.9233654511530054,0.914,No significant deterioration (alpha=0.05)
FF5 TAN,0.3994978765283759,0.19872800791258002,-0.20076986861579585,0.021339628865880034,0.036,Significant IS->OOS deterioration (alpha=0.05)
FF5 GMV,0.3789170698457338,0.1782081914885945,-0.20070887835713933,0.021012562660361445,0.052,No significant deterioration (alpha=0.05)
