portfolio,estimator,mean_x1e3,vol_x1e3,sharpe,delta_mean_x1e3,delta_vol_x1e3,delta_sharpe,abs_delta_sharpe
GMV,sample,9.732696039063995,31.39641741248577,0.20497285871250726,0.0,0.0,0.0,0.0
GMV,bs_mean,9.732696039063995,31.39641741248577,0.20497285871250726,0.0,0.0,0.0,0.0
GMV,bs_mean_cov,9.76230891321634,31.584317530296545,0.20469102421856233,0.0296128741523443,0.18790011781077282,-0.00028183449394492133,0.00028183449394492133
TAN,sample,17.633058717724033,46.86002035952437,0.3059276542997621,0.0,0.0,0.0,0.0
TAN,bs_mean,11.483984954155686,35.41166673316135,0.23118658624993726,-6.149073763568347,-11.448353626363025,-0.07474106804982483,0.07474106804982483
TAN,bs_mean_cov,11.434510718022525,35.434360100177166,0.2296423044277352,-6.198547999701508,-11.425660259347207,-0.0762853498720269,0.0762853498720269
